title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg,topics
Alvin and the Chipmunks: Chipwrecked,7.025602053269584,5.7,65.24,2011-12-14,1686,75000000,342695435,0.09,"[1.4269475903376116e-05,1.4431824960749255e-05,1.2589929023032578e-05,0.010939405976256368,1.9368555718813175e-05,1.286461893859414e-05,1.3147881601554754e-05,0.5732833031232837,0.4156774641172757,1.3154497038213359e-05]"
The Equalizer,7.051386699488595,7.2,72.958,2014-09-24,6942,55000000,192330738,0.09,"[0.012685941480368286,0.1570268380628733,0.02952664226007641,0.13979842081242297,0.08919157059368586,0.027873299811958463,0.020718188656015338,0.523108351175622,3.4251610140783764e-05,3.6495536836474636e-05]"
Hercules,6.9974334160900975,5.7,68.933,2014-07-23,3399,100000000,244819862,0.087,"[2.0459726952692858e-05,0.3800436697971826,1.8051572787279488e-05,0.15443422883497998,2.7770929531244995e-05,1.8445425949301408e-05,1.8851571085465013e-05,0.4653819596988631,1.770138625624651e-05,1.8861056412007913e-05]"
Let's Be Cops,6.735062513693928,6.4,96.0,2014-08-13,2233,17000000,136621271,0.118,"[1.573127832219153e-05,1.5910258925067248e-05,1.387967616192874e-05,0.5994116593424476,0.028369985590669774,1.4182506069847177e-05,1.4494786829256455e-05,0.37211604405955806,1.3610420977785973e-05,1.4502080038550704e-05]"
Fifty Shades of Grey,7.103157730145705,5.9,151.414,2015-02-11,9921,40000000,571006128,0.102,"[0.016435868341161095,8.70503333280344e-06,7.594032769726043e-06,1.3295818539313923e-05,0.16337165996139916,7.759721030267745e-06,7.930580298147032e-06,0.8201318052265202,7.446714289142818e-06,7.934570660093646e-06]"
Dragon Ball Z: Resurrection 'F',6.867067095396987,6.8,207.495,2015-04-18,1271,5000000,61768190,0.113,"[1.6950281433492744e-05,1.7143135316464873e-05,1.495519883252352e-05,0.012893708666999007,0.028580556539549332,0.44258279712062515,1.5617972956552368e-05,0.5158479801735953,1.4665078780909479e-05,1.56258319112227e-05]"
Madagascar: Escape 2 Africa,7.129437997793157,6.4,68.631,2008-10-30,5481,150000000,603900354,0.06,"[1.2908570528686791e-05,1.3055431372337964e-05,1.1389201878475742e-05,0.623884697426693,1.7521276459834945e-05,1.1637693951980598e-05,1.1893941170697497e-05,0.376013828272048,1.1168260093993452e-05,1.1899925803174368e-05]"
Jupiter Ascending,6.915635981103317,5.4,66.956,2015-02-04,5706,176000003,183987723,0.092,"[1.0568764270297735e-05,1.0689006647695073e-05,9.324797738434244e-06,1.6326701004144875e-05,0.9998681531246176,9.528248261471662e-06,9.738048133246445e-06,4.678445760474949e-05,9.143903776996152e-06,9.742947945295886e-06]"
The Mortal Instruments: City of Bones,6.915635981103317,6.4,61.42,2013-08-21,3911,60000000,95396573,0.093,"[1.3490405416236411e-05,1.3643887318326163e-05,1.1902553425100225e-05,2.0838792530852766e-05,1.8310930261070892e-05,1.2162245957755476e-05,1.2430043150633331e-05,0.9998731131914288,1.1671652938483192e-05,1.2436297572752229e-05]"
Furious 7,6.575390896689182,7.3,84.9,2015-04-01,8809,190000000,1515047671,0.133,"[8.537276150430698e-06,8.634408266874174e-06,7.5324224336416194e-06,0.9998959500163053,1.158795900707296e-05,7.696766486378987e-06,7.866239412193252e-06,3.693841517552272e-05,7.386299142198938e-06,7.870197620389907e-06]"
Fantastic Beasts and Where to Find Them,7.240677970889297,7.4,198.461,2016-11-16,15886,180000000,809342332,0.089,"[0.7405330722097266,9.64991161997008e-06,8.418318943949887e-06,1.4739438058552742e-05,0.0620443043701267,8.601991629918664e-06,8.791396671462066e-06,0.1973553715327309,8.255009976936798e-06,8.79582051516621e-06]"
Zootopia,7.212651559383752,7.7,97.805,2016-02-11,13468,150000000,1023784195,0.072,"[9.561783424283574e-06,9.670571278556903e-06,8.436342789551186e-06,0.006382693081120193,1.2978534074871293e-05,8.620408770803631e-06,8.810219209753248e-06,0.9935421417229993,8.272684129623428e-06,8.81465220302688e-06]"
Sicario,6.580328568594433,7.4,62.869,2015-09-17,6569,30000000,84872444,0.12,"[8.062623636243604e-06,8.154353731591575e-06,7.1136355450723295e-06,0.012166559246578024,0.9246298827607126,7.268842417196739e-06,0.034322596315089056,0.02883595395473656,6.975636386241881e-06,7.432631167375189e-06]"
Porn to Be Free,6.542947414579399,5.5,120.226,2016-06-24,66,0,0,0.119,"[8.13501010540635e-05,8.22756281584495e-05,7.177500670486e-05,0.0001256643670316085,0.6902579800550837,7.334100959772772e-05,7.495589005926643e-05,0.30908728171202215,7.038262858658333e-05,7.499360170163858e-05]"
After Porn Ends 2,6.7827477645873655,5.5,112.23,2017-03-28,187,500000,0,0.077,"[3.844794142702356e-05,3.8885381547402686e-05,3.3922541479843864e-05,5.9392908818352595e-05,0.2178189074806264,3.46626714636248e-05,3.542590136702392e-05,0.7818716469772812,3.326446999319851e-05,3.5443725995937175e-05]"
The Day Naruto Became Hokage,6.923377307939066,7.6,78.229,2016-07-06,163,0,0,0.086,"[0.00022977505044413977,0.0002323892480852596,0.30604420925064335,0.0003549369757543609,0.0003118810096994744,0.00020715327983122147,0.00021171451382955621,0.6919973223735513,0.00019879725057068677,0.0002118210475905509]"
The Art of 'Spirited Away',4.95127749053708,8.0,1.544,2003-04-15,2,0,0,0.082,"[1.5832724495918882e-05,1.6012858172916398e-05,1.3969179683948323e-05,2.44583846076153e-05,2.149027022366878e-05,1.4273962379892236e-05,1.4588257094748067e-05,0.6074655643655512,0.39239921440038794,1.4595597402208453e-05]"
Incredibles 2,7.191035398553056,7.5,117.56,2018-06-14,10488,200000000,1242805359,0.091,"[1.2887780085337649e-05,1.3034408358632644e-05,1.137086184802819e-05,1.990942940569537e-05,1.749325149840901e-05,1.1618954022277206e-05,0.4034219669145911,0.5964686873606886,1.1150275937980661e-05,1.188076356409839e-05]"
Spider-Man: Into the Spider-Verse,7.289618832855441,8.4,498.917,2018-12-06,10339,90000000,375540831,0.074,"[1.2899654723178043e-05,1.3046416111293622e-05,1.13813374614766e-05,1.992667333032514e-05,0.41855734303949577,1.1629658165529254e-05,1.1885728424590425e-05,0.581338835235247,1.1160548208158246e-05,1.1891708832795096e-05]"
Fantastic Beasts: The Crimes of Grindelwald,7.033757777675739,6.9,161.76,2018-11-14,8569,200000000,653355901,0.09,"[0.44702229082150075,0.011942268873458372,9.865324931493581e-06,0.011570754965978512,0.15887884348953696,1.0080568913445401e-05,0.0031607386339815957,0.3559753481632017,0.0027034512284222862,0.008726357930074907]"
